Layout Name,Type,Config,BUA (in sqft),Plot Size (in sqft),Launched Price (in AED),BUA PSF (in AED Per sqft),Plot PSF (in AED Per sqft),Factors
"Phase 1: Beach and Coral Villas: Frond M,N,O,P (Sep 2023), Est Handover: Q4, 2027",,,,,,,,
Azure Blue,Beach Villa,5bed,8434,~7400,From 18.5M,2200-2500 (avg),~2500,G+1+2
Indigo Ocean,Beach Villa,5Bed ,"7,882",~7400,From 18.5M,2200-2500 (avg),~2500,G+1+2
Mediterranean,Beach Villa,5Bed ,"8,165",~7400,From 18.5M,2200-2500 (avg),~2500,G+1+2
Provence,Beach Villa,5Bed ,"8,321",~7400,From 18.5M,2200-2500 (avg),~2500,G+1+2
Tropical Mist,Beach Villa,6bed,"7,798",~7400,From 18.5M,2200-2500 (avg),~2500,G+1+2
Sapphire,Beach Villa,6bed,"7,727",~7400,From 18.5M,2200-2500 (avg),~2500,G+1+2
Blue Horizon,Beach Villa,6bed,"7,316",~7400,From 18.5M,2200-2500 (avg),~2500,G+1+2
Acquamarina,Beach Villa,6bed,"7,875",~7400,From 18.5M,2200-2500 (avg),~2500,G+1+2
Porcelain Roses,Coral Villa,7bed,"11,530","13,000-19,000",30-49M (avg 40M),2200-2500 (avg),Starting ~2300,G+1+2
Coral Living,Coral Villa,7bed,"11,222","13,000-19,000",30-49M (avg 40M),2200-2500 (avg),Starting ~2300,G+1+2
Hibiscus,Coral Villa,7bed,"12,007","13,000-19,000",30-49M (avg 40M),2200-2500 (avg),Starting ~2300,G+1+2
Red Aurora,Coral Villa,7bed,"11,631","13,000-19,000",30-49M (avg 40M),2200-2500 (avg),Starting ~2300,G+1+2
Redwood,Coral Villa,7bed,"12,165","13,000-19,000",30-49M (avg 40M),2200-2500 (avg),Starting ~2300,G+1+2
Ruby Sunset,Coral Villa,7bed,"12,155","13,000-19,000",30-49M (avg 40M),2200-2500 (avg),Starting ~2300,G+1+2
Terracotta,Coral Villa,7bed,"12,140","13,000-19,000",30-49M (avg 40M),2200-2500 (avg),Starting ~2300,G+1+2
Cranberry Sky,Coral Villa,7bed,"11,447","13,000-19,000",30-49M (avg 40M),2200-2500 (avg),Starting ~2300,G+1+2
Premium 1,Plots,,"From 7,200 (avg 13,900) (FAR 0.6)","From 13,000 (23,900 avg)",40M (starting price mostly),,"1,800-3000","B+G+1+2 (Plot Coverage: 50%, Allowed Height: 15m)"
Premium 2,Plots,,"19,000 (FAR 0.74)","26,000 (avg)",,,"1,800-3000",
,,,,,,,,
"Phase 1B: Beach and Coral Villas: Frond L and K (Sep-Nov 2023), Est Handover: Q4, 2027",,,,,,,,
Premium 1,Plots,,"From 7,200 (avg 13,900) (FAR 0.6)","From 13,000 (23,900 avg)",40M (starting mostly),,"1,800-3000","B+G+1+2 (Plot Coverage: 50%, Allowed Height: 15m)"
Premium 2,Plots,,"19,000 (FAR 0.74)","26,000 (avg)",,,"1,800-3000",
,,,,,,,,
"Phase 2: Beach Villa Collection: Frond A, B, C, D, E, F (Nov 2024)",,,,,,,,
Blue Horizon,Beach Villa,6Bed ,"7,308","Mostly 7,300-7,600",From 18.5M,2200-2500 (avg),~2500,G+1+2
Bluejay,Beach Villa,6bed ,"8,293","7,300-7,600",From 18.5M,2200-2500 (avg),~2500,G+1+2
Cobalt,Beach Villa,6bed ,"7,654","7,300-7,600",From 18.5M,2200-2500 (avg),~2500,G+1+2
Cyan Sky,Beach Villa,6bed ,"7,722","7,300-7,600",From 18.5M,2200-2500 (avg),~2500,G+1+2
Ocean Whisper,Beach Villa,6bed ,"8,315","7,300-7,600",From 18.5M,2200-2500 (avg),~2500,G+1+2
Pacific Breeze,Beach Villa,6bed ,"7,677","7,300-7,600",From 18.5M,2200-2500 (avg),~2500,G+1+2
Wave Crest,Beach Villa,5bed ,"8,369","7,300-7,600",From 20M,2200-2500 (avg),~2500,G+1+2
Baia Luna,Beach Villa,5bed ,"8,205","7,300-7,600",From 20M,2200-2500 (avg),~2500,G+1+2
Crystal Springs,Beach Villa,5bed ,"8,465","7,300-7,600",From 20M,2200-2500 (avg),~2500,G+1+2
Indigo Ocean,Beach Villa,5Bed ,"7,940","7,300-7,600",From 20M,2200-2500 (avg),~2500,G+1+2
